Date,Open,High,Low,Close,Volume,Adj Close
2015-04-23,36.89,37.05,36.61,36.80,302800,36.01
2015-04-22,36.80,37.70,36.62,36.90,374300,36.11
2015-04-21,37.20,37.47,36.55,36.90,379700,36.11
2015-04-20,37.00,37.14,36.55,36.99,279600,36.20
2015-04-17,36.81,37.25,36.22,37.00,1071000,36.21
2015-04-16,36.50,37.00,36.45,36.92,475100,36.13
2015-04-15,36.80,37.15,36.16,36.50,289100,35.72
2015-04-14,36.74,37.50,36.38,37.01,1319700,36.22
2015-04-13,36.32,36.96,36.32,36.75,781700,35.96
2015-04-10,34.99,36.35,34.99,36.00,1199200,35.23
2015-04-09,34.50,35.02,34.41,34.95,295600,34.20
2015-04-08,34.80,35.20,34.26,34.50,2567400,33.76
2015-04-07,34.49,34.85,34.02,34.80,202300,34.05
2015-04-06,34.50,34.50,34.50,34.50,000,33.76
2015-04-03,34.50,34.50,34.50,34.50,000,33.76
2015-04-02,33.30,34.85,33.30,34.50,511500,33.76
2015-04-01,32.70,33.20,32.70,33.20,251100,32.49
2015-03-31,32.50,32.74,32.08,32.74,213400,32.04
2015-03-30,32.69,32.75,32.43,32.52,219600,31.82
2015-03-27,31.51,32.65,31.51,32.65,361500,31.95
2015-03-26,32.27,32.27,31.47,31.50,403000,30.82
2015-03-25,32.73,32.87,32.00,32.29,283400,31.60
2015-03-24,32.98,32.98,32.61,32.69,439000,31.99
2015-03-23,33.00,33.16,32.71,32.87,494500,32.16
2015-03-20,33.09,33.20,32.53,33.00,825500,32.29
2015-03-19,32.55,33.00,32.51,33.00,339800,32.29
2015-03-18,32.30,32.57,32.19,32.50,150000,31.80
2015-03-17,32.50,33.00,32.34,32.50,696600,31.80
2015-03-16,31.85,32.62,31.85,32.50,525000,31.80
2015-03-13,31.55,31.89,30.98,31.75,331600,31.07
2015-03-12,31.40,31.40,30.93,31.30,319500,30.63
2015-03-11,31.20,31.42,30.99,31.25,207200,30.58
2015-03-10,32.25,32.47,30.89,31.15,488900,30.48
2015-03-09,32.30,32.51,32.19,32.25,310400,31.56
2015-03-06,32.50,32.60,32.24,32.30,482900,31.61
2015-03-05,32.12,33.01,31.61,32.20,664300,31.51
2015-03-04,32.60,32.86,31.55,31.90,663400,31.22
2015-03-03,33.00,33.22,32.50,32.55,230000,31.85
2015-03-02,33.40,33.74,32.83,32.99,558200,32.28
2015-02-27,34.56,34.90,32.82,33.40,1899500,32.68
2015-02-26,37.90,37.90,34.50,34.50,818500,33.76
2015-02-25,38.30,38.64,37.83,38.30,188700,37.48
2015-02-24,38.57,38.69,36.82,38.30,250900,37.48
2015-02-23,38.75,39.25,38.03,38.28,198900,37.46
2015-02-20,38.48,39.30,38.48,38.75,218600,37.92
2015-02-19,38.88,39.00,38.06,38.41,188000,37.59
2015-02-18,37.80,38.80,37.64,38.80,59500,37.97
2015-02-17,38.04,38.10,37.37,37.70,57400,36.89
2015-02-16,38.19,38.76,38.00,38.04,30100,37.22
2015-02-13,38.00,38.19,37.63,38.19,64900,37.37
2015-02-12,36.99,38.16,36.73,38.16,82200,37.34
2015-02-11,37.83,37.86,37.05,37.31,386700,36.51
2015-02-10,37.52,38.07,37.52,37.83,160300,37.02
2015-02-09,37.92,38.19,37.31,37.82,526400,37.01
2015-02-06,37.33,38.15,37.22,37.75,771600,36.94
2015-02-05,36.45,37.56,36.41,37.25,581700,36.45
2015-02-04,36.82,36.82,35.83,36.38,103700,35.60
2015-02-03,37.00,37.18,36.45,36.85,255700,36.06
2015-02-02,36.60,37.09,36.11,36.87,1067000,36.08
2015-01-30,36.87,36.87,36.28,36.82,112400,36.03
2015-01-29,36.50,37.15,36.11,36.25,272500,35.47
2015-01-28,36.95,37.13,36.50,36.75,634600,35.96
2015-01-27,36.85,36.90,36.45,36.60,146300,35.81
2015-01-26,36.23,36.94,36.22,36.50,491200,35.72
2015-01-23,36.40,37.00,36.05,36.50,882100,35.72
2015-01-22,35.72,36.22,35.41,36.22,521100,35.44
2015-01-21,35.00,35.50,34.58,35.35,232900,34.59
2015-01-20,34.90,35.40,34.51,34.88,1123800,34.13
2015-01-19,35.03,35.60,33.87,34.50,680200,33.76
2015-01-16,34.61,36.10,34.53,35.03,178500,34.28
2015-01-15,35.89,36.02,34.25,34.80,487200,34.05
2015-01-14,35.50,35.50,34.88,35.50,1424700,34.74
2015-01-13,35.50,35.80,34.61,34.95,636000,34.20
2015-01-12,37.00,37.13,35.30,35.60,305200,34.84
2015-01-09,38.50,38.50,37.10,37.11,115400,36.31
2015-01-08,36.51,38.97,36.51,38.60,336400,37.77
2015-01-07,37.00,37.87,36.03,37.05,276200,36.25
2015-01-06,37.15,37.15,37.15,37.15,000,36.35
2015-01-05,37.80,39.17,37.02,37.15,172600,36.35
2015-01-02,38.00,38.75,37.33,38.00,180200,37.18
2015-01-01,38.00,38.00,38.00,38.00,000,37.18
2014-12-31,38.00,38.00,38.00,38.00,000,37.18
2014-12-30,37.91,38.07,37.53,38.00,101100,37.18
2014-12-29,39.10,39.10,37.70,38.18,210500,37.36
2014-12-26,39.24,39.24,39.24,39.24,000,38.40
2014-12-25,39.24,39.24,39.24,39.24,000,38.40
2014-12-24,39.24,39.24,39.24,39.24,000,38.40
2014-12-23,39.38,39.70,38.19,39.24,304100,38.40
2014-12-22,38.15,39.10,37.60,38.02,131200,37.20
2014-12-19,36.60,38.48,36.40,38.11,473400,37.29
2014-12-18,37.16,37.42,35.80,36.74,227400,35.95
2014-12-17,36.80,37.76,36.38,37.11,312200,36.31
2014-12-16,39.40,39.40,36.60,37.25,485300,36.45
2014-12-15,38.70,40.32,38.59,39.42,317500,38.57
2014-12-12,38.68,39.40,38.52,39.01,307700,38.17
2014-12-11,38.77,39.50,38.37,39.00,200200,38.16
2014-12-10,39.37,39.84,38.39,38.87,229000,38.04
2014-12-09,41.69,41.69,38.86,39.37,601400,38.52
2014-12-08,41.48,41.55,40.39,41.35,253000,40.46
2014-12-05,39.00,41.80,38.80,41.00,478500,40.12
2014-12-04,38.96,39.64,38.65,38.70,282800,37.87
2014-12-03,38.30,38.94,37.56,38.94,242100,38.10
2014-12-02,37.30,38.87,36.51,37.67,269200,36.86
2014-12-01,36.78,37.50,36.02,37.06,263100,36.26
2014-11-28,37.79,37.80,37.10,37.20,94700,36.40
2014-11-27,37.20,37.84,37.20,37.50,173100,36.69
2014-11-26,37.54,38.30,37.28,37.50,304200,36.69
2014-11-25,37.34,38.00,36.59,38.00,366800,37.18
2014-11-24,37.63,38.00,37.22,37.80,193600,36.99
2014-11-21,37.03,37.87,36.87,37.20,148900,36.40
2014-11-20,37.99,38.10,36.76,37.25,308600,36.45
2014-11-19,38.10,38.69,36.41,37.87,379400,37.06
2014-11-18,36.10,38.05,35.91,38.00,925800,37.18
2014-11-17,34.82,36.20,34.80,36.20,242700,35.42
2014-11-14,33.20,34.80,33.19,34.80,841600,34.05
2014-11-13,31.70,33.07,31.50,32.70,890800,32.00
2014-11-12,31.52,31.84,31.11,31.50,280800,30.82
2014-11-11,31.50,31.50,31.50,31.50,000,30.82
2014-11-10,31.68,31.80,31.21,31.50,540200,30.82
2014-11-07,32.48,32.48,31.10,31.50,357100,30.82
2014-11-06,32.00,32.47,31.73,32.15,727500,31.46
2014-11-05,32.39,33.12,31.98,32.02,1039400,31.33
2014-11-04,32.89,33.30,32.21,32.21,439500,31.52
2014-11-03,33.29,33.33,32.73,33.08,213300,32.37
2014-10-31,33.42,33.49,32.90,33.19,216500,32.48
2014-10-30,33.75,34.37,32.61,33.33,851300,32.61
2014-10-29,35.00,35.20,34.38,35.02,335300,34.27
2014-10-28,34.86,34.99,34.51,34.90,102800,34.15
2014-10-27,34.87,34.95,34.15,34.80,79800,34.05
2014-10-24,35.04,35.04,34.40,34.90,69800,34.15
2014-10-23,34.99,35.35,34.76,35.00,806200,34.25
2014-10-22,34.90,35.27,34.60,35.27,487800,34.51
2014-10-21,34.85,35.00,34.55,34.90,151200,34.15
2014-10-20,34.59,35.04,34.00,35.00,640800,34.25
2014-10-17,34.49,35.00,34.01,34.04,418000,33.31
2014-10-16,34.34,35.00,33.93,34.49,522400,33.75
2014-10-15,33.80,35.59,33.80,34.35,779900,33.61
2014-10-14,32.80,33.96,32.53,33.64,265500,32.92
2014-10-13,32.16,33.11,32.10,32.94,173500,32.23
2014-10-10,32.00,32.34,31.97,32.19,165300,31.50
2014-10-09,32.84,32.84,31.93,32.36,145200,31.67
2014-10-08,32.80,33.19,32.15,32.15,211400,31.46
2014-10-07,33.00,33.20,32.47,32.90,157700,32.19
2014-10-06,32.13,33.15,31.84,32.95,203800,32.24
2014-10-03,32.00,32.17,31.83,32.00,125700,31.31
2014-10-02,31.92,32.16,31.78,32.00,136100,31.31
2014-10-01,32.30,32.30,31.80,32.27,148600,31.58
2014-09-30,32.09,32.39,31.62,32.31,172000,31.62
2014-09-29,31.11,32.09,31.11,32.06,232300,31.37
2014-09-26,30.85,31.15,30.45,31.10,530000,30.43
2014-09-25,32.20,32.20,30.56,30.80,307100,30.14
2014-09-24,32.05,32.30,31.20,32.17,355800,31.48
2014-09-23,32.71,32.71,32.10,32.15,98800,31.46
2014-09-22,32.00,32.68,32.00,32.40,150800,31.70
2014-09-19,32.25,32.48,31.66,32.00,957200,31.31
2014-09-18,33.00,33.00,32.07,32.07,823300,31.38
2014-09-17,33.74,33.97,32.85,33.00,390300,32.29
2014-09-16,34.50,34.50,33.74,33.74,262000,33.02
2014-09-15,34.96,35.07,34.40,34.44,101000,33.70
2014-09-12,35.10,35.15,34.81,35.07,157400,34.32
2014-09-11,35.10,35.29,34.82,35.12,240200,34.37
2014-09-10,35.52,35.75,34.80,35.15,258600,34.40
2014-09-09,35.52,36.10,35.52,36.00,110700,35.23
2014-09-08,35.84,36.00,35.30,35.95,123500,35.18
2014-09-05,35.51,35.92,35.46,35.70,93000,34.93
2014-09-04,35.87,35.89,35.17,35.89,108100,35.12
2014-09-03,34.50,35.94,34.39,35.86,283700,35.09
2014-09-02,34.52,34.93,34.23,34.41,984200,33.67
2014-09-01,34.65,34.87,34.16,34.30,320800,33.56
2014-08-29,34.45,34.76,34.07,34.50,402100,33.76
2014-08-28,35.82,35.82,34.35,34.45,1450500,33.71
2014-08-27,36.05,36.34,35.24,35.55,594800,34.79
2014-08-26,35.50,36.14,34.46,36.08,563400,35.31
2014-08-25,35.20,35.44,34.82,35.11,140300,34.36
2014-08-22,35.00,35.00,34.32,34.80,344700,34.05
2014-08-21,35.25,35.39,34.76,35.00,495400,34.25
2014-08-20,36.26,36.39,35.16,35.20,545300,34.44
2014-08-19,36.90,37.00,35.90,36.13,489100,35.35
2014-08-18,36.34,37.16,36.28,37.15,269400,36.35
2014-08-15,36.00,36.00,36.00,36.00,000,35.23
2014-08-14,36.02,36.48,35.80,36.00,193700,35.23
2014-08-13,37.00,37.34,35.65,36.02,349200,35.25
2014-08-12,37.00,37.38,36.64,37.00,361600,36.21
2014-08-11,37.35,38.38,36.80,37.00,458500,36.21
2014-08-08,37.00,37.00,36.06,36.40,472000,35.62
2014-08-07,37.90,37.99,36.96,37.15,601700,36.35
2014-08-06,37.99,38.00,37.11,37.90,281800,37.09
2014-08-05,38.40,38.50,37.55,37.90,412100,37.09
2014-08-04,37.10,38.42,37.10,38.25,568100,37.43
2014-08-01,38.50,38.55,36.81,37.10,1080900,36.30
2014-07-31,39.70,39.95,37.57,38.55,2607500,37.72
2014-07-30,41.60,41.60,39.45,39.75,1845200,38.90
2014-07-29,41.68,42.97,41.50,41.99,263500,41.09
2014-07-28,42.00,42.00,41.32,41.72,133000,40.82
2014-07-25,41.74,42.09,40.50,42.00,175300,41.10
2014-07-24,42.00,42.20,41.63,41.95,301200,41.05
2014-07-23,41.99,41.99,41.53,41.99,81900,41.09
2014-07-22,41.04,42.00,41.04,42.00,113800,41.10
2014-07-21,42.00,42.00,40.86,41.30,443000,40.41
2014-07-18,41.20,42.00,40.68,41.96,137000,41.06
2014-07-17,40.05,41.98,40.05,41.60,97800,40.71
2014-07-16,40.10,40.59,40.01,40.30,482200,39.43
2014-07-15,39.36,40.42,39.36,40.10,289500,39.24
2014-07-14,39.70,39.90,39.13,39.59,70400,38.74
2014-07-11,39.25,39.98,39.25,39.50,147700,38.65
2014-07-10,39.74,39.74,38.37,39.00,219900,38.16
2014-07-09,39.39,39.88,38.50,39.30,174200,38.46
2014-07-08,39.49,39.51,39.00,39.21,382500,38.37
2014-07-07,39.74,39.74,38.65,39.10,126700,38.26
2014-07-04,40.30,40.44,39.70,39.71,82400,38.86
2014-07-03,39.50,41.00,39.50,41.00,382000,40.12
2014-07-02,39.88,40.26,39.23,39.60,475400,38.75
2014-07-01,40.55,40.62,39.66,40.00,323600,39.14
2014-06-30,40.00,40.50,39.67,40.21,271500,39.35
2014-06-27,41.10,41.10,39.51,40.00,510800,39.14
2014-06-26,41.80,41.95,40.55,41.00,153900,40.12
2014-06-25,42.10,42.40,41.26,41.91,110500,41.01
2014-06-24,42.63,42.73,41.70,41.80,423400,40.90
2014-06-23,42.97,43.55,42.30,42.63,222800,41.71
2014-06-20,42.40,43.89,42.40,42.80,396300,41.88
2014-06-19,42.89,42.89,42.89,42.89,000,41.97
2014-06-18,42.93,42.95,42.15,42.89,339200,41.97
2014-06-17,42.75,42.99,41.02,42.70,550900,41.78
2014-06-16,42.44,43.16,42.05,42.75,152900,41.83
2014-06-13,42.39,43.18,42.30,42.73,134300,41.81
2014-06-12,42.91,43.06,41.86,42.45,185000,41.54
2014-06-11,43.60,43.85,42.20,42.52,197800,41.61
2014-06-10,43.39,43.79,42.67,43.48,202500,42.55
2014-06-09,43.10,43.67,42.67,43.25,117800,42.32
2014-06-06,43.22,43.22,42.55,42.90,71600,41.98
2014-06-05,42.30,43.20,41.81,42.95,426700,42.03
2014-06-04,42.32,42.60,42.06,42.16,148200,41.25
2014-06-03,42.56,43.28,42.01,42.32,412200,41.41
2014-06-02,43.49,43.49,42.64,43.33,189700,42.40
2014-05-30,44.49,44.50,43.07,43.50,365800,42.57
2014-05-29,43.35,44.50,43.32,44.50,344900,43.54
2014-05-28,42.42,43.44,42.40,43.00,126600,42.08
2014-05-27,44.13,44.15,42.25,42.72,216100,41.80
2014-05-26,43.00,44.80,43.00,44.56,283800,43.60
2014-05-23,43.00,43.35,42.21,42.91,545800,41.99
2014-05-22,41.50,43.10,41.26,43.10,583300,42.17
2014-05-21,41.50,41.80,41.00,41.10,364400,40.22
2014-05-20,40.20,41.50,40.20,41.50,356600,40.61
2014-05-19,39.80,40.45,39.41,40.40,123300,39.53
2014-05-16,39.49,40.48,39.16,39.80,157100,38.95
2014-05-15,39.55,39.55,39.15,39.40,602000,38.55
2014-05-14,39.40,39.55,39.03,39.40,391800,38.55
2014-05-13,40.00,40.16,39.51,40.04,780600,38.41
2014-05-12,39.46,39.95,39.21,39.75,803300,38.13
2014-05-09,40.07,40.11,38.99,39.29,224400,37.69
2014-05-08,39.73,40.28,39.40,40.12,151200,38.48
2014-05-07,39.00,39.60,38.60,39.60,490300,37.99
2014-05-06,40.18,40.39,38.82,39.10,263700,37.51
2014-05-05,40.10,40.10,39.39,40.06,42700,38.43
2014-05-02,40.20,40.20,39.85,40.13,269200,38.49
2014-05-01,39.95,39.95,39.95,39.95,000,38.32
2014-04-30,40.40,40.88,39.91,39.95,159900,38.32
2014-04-29,40.50,40.90,40.06,40.40,233600,38.75
2014-04-28,40.27,40.69,39.65,40.04,144800,38.41
2014-04-25,39.23,40.75,39.23,40.27,000,38.63
2014-04-24,40.30,40.90,39.51,39.60,309500,37.99
2014-04-23,40.10,40.35,39.92,40.13,303300,38.49
2014-04-22,39.56,40.06,39.50,40.05,256700,38.42
2014-04-21,39.95,39.95,39.95,39.95,000,38.32
2014-04-18,39.95,39.95,39.95,39.95,000,38.32
2014-04-17,39.55,40.00,39.14,39.95,220000,38.32
2014-04-16,39.45,40.19,39.30,39.50,281900,37.89
2014-04-15,39.14,39.51,38.56,39.51,248000,37.90
2014-04-14,38.66,39.48,38.27,39.18,209500,37.58
2014-04-11,38.46,38.70,38.00,38.70,306700,37.12
2014-04-10,38.40,39.20,38.29,38.80,311700,37.22
2014-04-09,38.18,38.45,37.77,38.20,683900,36.64
2014-04-08,38.47,38.47,37.60,38.00,500200,36.45
2014-04-07,38.50,38.50,37.98,38.36,617900,36.80
2014-04-04,38.90,39.15,38.02,38.70,1157200,37.12
2014-04-03,39.51,39.70,38.80,38.90,765200,37.31
2014-04-02,40.15,40.19,39.30,39.50,311300,37.89
2014-04-01,39.07,40.90,39.04,40.30,601800,38.66
2014-03-31,39.00,40.00,38.60,39.99,358000,38.36
2014-03-28,39.40,39.40,38.58,38.84,461600,37.26
2014-03-27,39.00,39.30,38.79,39.20,147800,37.60
2014-03-26,38.85,39.45,38.62,39.00,318100,37.41
2014-03-25,38.65,39.39,38.62,38.85,269700,37.27
