Date,Open,High,Low,Close,Volume,Adj Close
2015-04-06,72.40,73.73,72.36,73.33,857000,73.33
2015-04-02,73.14,73.27,72.54,72.76,737100,72.76
2015-04-01,73.04,73.04,72.00,72.41,925000,72.41
2015-03-31,72.72,72.90,72.11,72.17,998100,72.17
2015-03-30,72.96,73.15,72.71,72.72,991900,72.72
2015-03-27,72.07,72.67,71.72,72.54,1210400,72.54
2015-03-26,71.55,72.09,70.95,71.75,816700,71.75
2015-03-25,73.33,73.41,72.04,72.11,1381600,72.11
2015-03-24,73.88,74.16,73.47,73.53,1362000,73.53
2015-03-23,72.89,73.46,72.51,73.20,1461700,73.20
2015-03-20,72.55,73.23,72.10,72.76,2727900,72.76
2015-03-19,70.22,70.58,70.05,70.31,1576500,70.31
2015-03-18,69.59,71.47,69.55,70.97,2207100,70.97
2015-03-17,69.02,69.23,68.74,69.01,802000,69.01
2015-03-16,69.05,69.61,68.87,69.48,753900,69.48
2015-03-13,67.58,68.31,67.42,68.08,650300,68.08
2015-03-12,67.99,68.20,67.59,68.09,1223800,68.09
2015-03-11,67.22,67.63,66.86,67.19,608600,67.19
2015-03-10,67.45,67.76,66.83,66.91,767500,66.91
2015-03-09,68.36,68.64,68.10,68.48,479600,68.48
2015-03-06,69.00,69.31,68.33,68.48,873600,68.48
2015-03-05,70.18,70.26,69.81,69.98,487500,69.98
2015-03-04,69.66,69.96,69.19,69.88,1311000,69.88
2015-03-03,70.93,71.00,70.16,70.41,789600,70.41
2015-03-02,70.19,71.14,70.19,71.11,2244900,71.11
2015-02-27,70.30,70.50,70.02,70.19,481400,70.19
2015-02-26,69.82,70.30,69.68,69.85,646700,69.85
2015-02-25,70.07,70.27,69.87,70.18,568800,70.18
2015-02-24,69.60,70.16,69.31,69.87,1113400,69.87
2015-02-23,69.71,70.01,69.52,69.68,563100,69.68
2015-02-20,68.48,69.95,68.31,69.63,813000,69.63
2015-02-19,68.51,69.25,68.34,68.88,432600,68.88
2015-02-18,68.24,69.15,68.16,68.96,600900,68.96
2015-02-17,69.06,69.20,68.54,69.08,476500,69.08
2015-02-13,69.32,69.59,68.95,69.09,639600,69.09
2015-02-12,68.67,69.13,68.59,69.09,751700,69.09
2015-02-11,66.53,67.04,66.49,66.84,874800,66.84
2015-02-10,67.23,67.47,66.47,67.33,1805900,67.33
2015-02-09,66.30,66.71,66.17,66.31,1734800,66.31
2015-02-06,67.17,67.40,66.49,66.67,2684000,66.67
2015-02-05,68.05,68.74,67.78,68.71,1129300,68.71
2015-02-04,68.20,68.23,67.31,67.39,1333800,67.39
2015-02-03,67.74,68.42,67.46,68.38,1299500,68.38
2015-02-02,66.17,67.02,65.93,66.95,1187300,66.95
2015-01-30,65.63,66.00,65.20,65.36,967900,65.36
2015-01-29,65.01,65.95,64.90,65.82,1354800,65.82
2015-01-28,65.19,65.33,64.13,64.19,981200,64.19
2015-01-27,65.62,65.92,65.22,65.50,1302100,65.50
2015-01-26,65.41,66.41,65.15,66.10,1736100,66.10
2015-01-23,64.28,65.06,64.20,64.52,1032700,64.52
2015-01-22,63.90,64.62,63.65,64.35,1517800,64.35
2015-01-21,63.61,64.13,63.40,64.08,2283800,64.08
2015-01-20,63.65,63.76,62.82,63.56,2674100,63.56
2015-01-16,66.23,67.24,65.80,67.11,1143700,67.11
2015-01-15,67.09,67.48,66.60,66.88,1060900,66.88
2015-01-14,66.68,67.39,66.31,66.97,841200,66.97
2015-01-13,67.10,67.80,66.42,66.89,1707100,66.89
2015-01-12,65.76,68.10,65.48,67.70,3279400,67.70
2015-01-09,65.23,65.27,64.42,65.03,1142500,65.03
2015-01-08,64.51,66.31,64.50,66.13,1184700,66.13
2015-01-07,64.98,65.46,64.60,65.09,1483100,65.09
2015-01-06,65.93,66.46,65.36,65.68,1478900,65.68
2015-01-05,68.30,68.36,67.06,67.20,1678800,67.20
2015-01-02,69.79,70.36,69.64,70.04,683600,70.04
2014-12-31,70.40,70.63,69.58,69.65,487100,69.65
2014-12-30,70.92,71.13,70.26,70.40,476800,70.40
2014-12-29,71.20,71.69,71.11,71.32,1002200,71.32
2014-12-26,71.64,71.89,71.34,71.70,473000,71.70
2014-12-24,71.11,71.56,70.94,71.47,304300,71.47
2014-12-23,70.68,71.05,70.56,70.90,650400,70.90
2014-12-22,70.87,70.99,70.61,70.69,1043500,70.69
2014-12-19,70.01,70.84,69.84,70.44,3073000,70.44
2014-12-18,69.19,70.42,69.13,70.40,884500,70.40
2014-12-17,67.80,68.97,67.68,68.40,862000,68.40
2014-12-16,66.67,68.50,66.58,67.54,856100,67.54
2014-12-15,69.04,69.18,67.03,67.20,1234600,67.20
2014-12-12,70.00,70.22,68.48,68.50,1693000,68.50
2014-12-11,69.85,70.89,69.78,70.22,1158400,70.22
2014-12-10,69.79,69.82,68.68,68.74,807700,68.74
2014-12-09,69.69,70.25,69.42,69.89,990600,69.89
2014-12-08,70.39,70.58,69.69,69.80,1155400,69.80
2014-12-05,69.44,70.06,69.25,69.75,877300,69.75
2014-12-04,69.69,69.79,68.99,69.17,898600,69.17
2014-12-03,69.75,69.99,69.44,69.70,1081400,69.70
2014-12-02,70.92,71.03,70.21,70.35,964300,70.35
2014-12-01,71.08,71.28,70.81,70.85,805700,70.85
2014-11-28,70.75,70.88,70.19,70.32,432700,70.32
2014-11-26,71.05,71.29,70.90,71.12,1054800,71.12
2014-11-25,70.75,71.05,70.73,70.80,900400,70.80
2014-11-24,70.47,70.62,70.07,70.36,1035700,70.36
2014-11-21,69.71,69.78,69.25,69.36,728900,69.36
2014-11-20,68.14,68.79,68.08,68.62,551200,68.62
2014-11-19,69.15,69.17,68.45,68.72,857100,68.72
2014-11-18,68.13,68.94,67.99,68.60,1459600,68.60
2014-11-17,67.07,67.65,66.97,67.52,1107800,67.52
2014-11-14,66.22,66.97,66.20,66.88,393500,66.88
2014-11-13,66.18,66.97,66.17,66.63,623300,66.63
2014-11-12,66.36,66.84,66.25,66.45,948700,66.45
2014-11-11,67.13,67.46,66.90,67.32,473900,67.32
2014-11-10,66.99,67.40,66.84,67.28,767500,67.28
2014-11-07,66.61,66.96,66.41,66.85,1429400,66.85
2014-11-06,67.32,67.77,67.08,67.49,675200,67.49
2014-11-05,67.22,67.44,66.84,67.22,748000,67.22
2014-11-04,66.80,67.20,66.54,66.92,1094400,66.92
2014-11-03,67.22,67.28,66.84,67.17,1870600,67.17
2014-10-31,67.24,68.16,66.99,68.13,1900600,68.13
2014-10-30,65.53,66.67,65.49,66.32,2786800,66.32
2014-10-29,66.68,66.92,65.98,66.17,3066800,66.17
2014-10-28,66.58,67.02,66.42,66.98,1040800,66.98
2014-10-27,64.73,65.71,64.63,65.41,881100,65.41
2014-10-24,65.81,65.95,65.42,65.68,681300,65.68
2014-10-23,65.31,66.44,65.20,66.16,1403400,66.16
2014-10-22,64.96,65.23,64.11,64.14,1733800,64.14
2014-10-21,65.24,66.19,65.23,66.07,1497700,66.07
